SpeciesName,substratum
"Axinella dissimilis",Bedrock
"Axinella dissimilis","Large to very large boulders"
"Asterina phylactica","Coarse clean sand"
"Asterina phylactica","Fine clean sand"
"Asterina phylactica","Sandy mud"
"Asterina phylactica","Muddy sand"
"Asterina phylactica",Mud
"Bugula turbinata",Caves
"Caecum armoricum","Gravel / shingle"
"Cancer pagurus","Muddy gravel"
"Carcinus maenas","No preference"
"Ceramium virgatum",Cobbles
"Ceramium virgatum",Pebbles
"Ceramium virgatum","Gravel / shingle"
"Ceramium virgatum",Algae
"Ceramium virgatum","Artificial (e.g. metal/wood/concrete)"
"Ceramium virgatum",Rockpools
"Cerastoderma glaucum","Coarse clean sand"
"Cerastoderma glaucum","Fine clean sand"
"Cerastoderma glaucum","Sandy mud"
"Cerastoderma glaucum","Muddy sand"
"Cerastoderma glaucum",Mud
"Chondrus crispus",Bedrock
"Chondrus crispus","Large to very large boulders"
"Chondrus crispus","Small boulders"
"Chondrus crispus",Rockpools
"Chorda filum","Muddy gravel"
"Chorda filum",Pebbles
"Chorda filum","Gravel / shingle"
"Chorda filum",Mixed
"Chorda filum",Algae
"Chthamalus stellatus",Bedrock
"Chthamalus stellatus","Large to very large boulders"
"Chthamalus stellatus","Artificial (e.g. metal/wood/concrete)"
"Cladophora rupestris",Bedrock
"Cladophora rupestris","Small boulders"
"Cladophora rupestris",Cobbles
"Cladophora rupestris",Algae
"Clavelina lepadiformis",Pebbles
"Corallina officinalis","Artificial (e.g. metal/wood/concrete)"
"Corallina officinalis",Bedrock
"Corallina officinalis","Large to very large boulders"
"Botryllus schlosseri","Small boulders"
"Delesseria sanguinea",Bedrock
"Delesseria sanguinea","Large to very large boulders"
"Delesseria sanguinea","Small boulders"
"Delesseria sanguinea",Rockpools
"Dipturus batis","Muddy gravel"
"Dipturus batis","Coarse clean sand"
"Dipturus batis","Fine clean sand"
"Dipturus batis","Sandy mud"
"Dipturus batis","Muddy sand"
"Dipturus batis",Mud
"Dipturus batis",Mixed
"Edwardsia ivelli",Mud
"Eurydice pulchra","Coarse clean sand"
"Eurydice pulchra","Fine clean sand"
"Fucus ceranoides",Bedrock
"Fucus ceranoides","Large to very large boulders"
"Fucus ceranoides","Small boulders"
"Fucus ceranoides",Cobbles
"Fucus ceranoides",Pebbles
"Fucus ceranoides","Gravel / shingle"
"Fucus distichus",Bedrock
"Fucus distichus","Large to very large boulders"
"Ampelisca spinipes","Insufficient information"
"Fucus serratus",Bedrock
"Fucus serratus","Large to very large boulders"
"Corbula gibba",Mixed
"Corbula gibba","Muddy gravel"
"Corbula gibba","Muddy sand"
"Corbula gibba","Sandy mud"
"Cordylophora caspia","Artificial (e.g. metal/wood/concrete)"
"Cordylophora caspia",Bedrock
"Cordylophora caspia",Caves
"Cordylophora caspia",Cobbles
"Cordylophora caspia","Large to very large boulders"
"Cordylophora caspia",Overhangs
"Cordylophora caspia","Small boulders"
"Cordylophora caspia",Pebbles
"Corophium volutator","Sandy mud"
"Corophium volutator","Muddy sand"
"Corophium volutator",Mud
"Crepidula fornicata",Mud
"Crepidula fornicata",Mixed
"Fucus serratus","Small boulders"
"Fucus serratus",Cobbles
"Fucus spiralis",Bedrock
"Fucus spiralis","Large to very large boulders"
"Fucus spiralis","Small boulders"
"Fucus spiralis",Cobbles
"Fucus vesiculosus",Bedrock
"Fucus vesiculosus","Large to very large boulders"
"Fucus vesiculosus","Small boulders"
"Fucus vesiculosus",Cobbles
"Fucus vesiculosus",Pebbles
"Fucus vesiculosus","Gravel / shingle"
"Fucus vesiculosus","Artificial (e.g. metal/wood/concrete)"
"Furcellaria lumbricalis",Bedrock
"Furcellaria lumbricalis","Large to very large boulders"
"Furcellaria lumbricalis","Small boulders"
"Furcellaria lumbricalis","Water column (pelagic)"
"Furcellaria lumbricalis",Rockpools
"Furcellaria lumbricalis",Cobbles
"Furcellaria lumbricalis",Pebbles
"Furcellaria lumbricalis",Algae
"Gobius cobitis",Rockpools
"Gobius cobitis","Under boulders"
"Gobius cobitis",Mixed
"Gobius couchi",Pebbles
"Gobius couchi",Mixed
"Gobius couchi",Rockpools
"Gobius couchi","Under boulders"
"Gobius couchi",Maerl
"Halidrys siliquosa",Bedrock
"Halidrys siliquosa","Large to very large boulders"
"Halidrys siliquosa","Small boulders"
"Halidrys siliquosa",Rockpools
"Halidrys siliquosa",Cobbles
"Himanthalia elongata",Bedrock
"Himanthalia elongata","Large to very large boulders"
"Hippocampus hippocampus",Algae
"Hippocampus hippocampus",Seagrass
"Hippocampus hippocampus",Bedrock
"Hippocampus hippocampus",Mud
"Laminaria digitata",Bedrock
"Laminaria digitata","Large to very large boulders"
"Laminaria digitata","Small boulders"
"Laminaria digitata",Cobbles
"Laminaria digitata",Pebbles
"Laminaria digitata","Artificial (e.g. metal/wood/concrete)"
"Laminaria hyperborea",Bedrock
"Laminaria hyperborea","Large to very large boulders"
"Laminaria hyperborea",Cobbles
"Laminaria hyperborea",Pebbles
"Laminaria hyperborea","Artificial (e.g. metal/wood/concrete)"
"Saccharina latissima",Bedrock
"Saccharina latissima","Large to very large boulders"
"Funiculina quadrangularis","Muddy sand"
"Gobius couchi","Fine clean sand"
"Gobius couchi","Muddy sand"
"Gobius couchi","Sandy mud"
"Gobius couchi",Mud
"Halichondria panicea","Small boulders"
"Hyale prevostii",Bedrock
"Saccharina latissima","Small boulders"
"Saccharina latissima",Cobbles
"Saccharina latissima",Pebbles
"Chaetopterus variopedatus","Under boulders"
"Lanice conchilega","Fine clean sand"
"Chaetopterus variopedatus",Bedrock
"Lanice conchilega","Muddy sand"
"Leptopsammia pruvoti",Bedrock
"Leptopsammia pruvoti","Large to very large boulders"
"Lithophyllum incrustans",Rockpools
"Musculus discors",Algae
"Musculus discors",Bedrock
"Musculus discors","Large to very large boulders"
"Musculus discors","Small boulders"
"Musculus discors","Gravel / shingle"
"Musculus discors",Mud
"Asterina gibbosa","Under boulders"
"Nucula nitidosa","Sandy mud"
"Palmaria palmata",Bedrock
"Palmaria palmata",Algae
"Palmaria palmata","Large to very large boulders"
"Nephrops norvegicus",Mud
"Nephrops norvegicus","Muddy sand"
"Nephrops norvegicus","Sandy mud"
"Nephtys hombergii","Coarse clean sand"
"Nephtys hombergii","Fine clean sand"
"Nephtys hombergii","Muddy sand"
"Nephtys hombergii","Sandy mud"
"Nucella lapillus",Overhangs
"Ostrea edulis",Mud
"Ostrea edulis",Bedrock
"Pecten maximus","Fine clean sand"
"Polydora ciliata",Bedrock
"Patella vulgata",Bedrock
"Patella vulgata","Large to very large boulders"
"Patella vulgata","Small boulders"
"Patella vulgata",Cobbles
