SpeciesName,devmech
"Labrus bergylta",Oviparous
"Labrus mixtus",Oviparous
"Parablennius gattorugine",Oviparous
"Callionymus lyra",Oviparous
"Thorogobius ephippiatus",Oviparous
"Pleuronectes platessa",Oviparous
"Gastrosaccus spp.",Ovoviviparous
"Urothoe spp.","Direct Development"
"Arcopagia spp.",Planktotrophic
"Tellina spp.",Planktotrophic
"Solecurtus spp.",Planktotrophic
"Dosinia spp.",Planktotrophic
"Sphenia spp.",Planktotrophic
"Thracia spp.",Planktotrophic
"Atelecyclus spp.",Planktotrophic
"Pirimela spp.",Planktotrophic
"Pilumnus spp.",Planktotrophic
"Leptochiton spp.",Lecithotrophic
"Glycymeris spp.",Planktotrophic
"Laevicardium spp.",Planktotrophic
"Homarus gammarus",Planktotrophic
"Leptasterias muelleri","Direct Development"
"Leptasterias muelleri",Brooding
"Idotea pelagica","Direct Development"
"Idotea pelagica",Brooding
"Alaria esculenta","Spores (sexual / asexual)"
"Saccharina latissima","Spores (sexual / asexual)"
"Sabellaria spinulosa",Planktotrophic
"Liocarcinus depurator",Planktotrophic
"Liocarcinus depurator",Oviparous
"Psammechinus miliaris",Planktotrophic
"Ophiothrix fragilis",Planktotrophic
"Hydrobia ulvae",Planktotrophic
"Hydrobia ulvae",Lecithotrophic
"Echinus esculentus",Planktotrophic
"Neocrania anomala",Lecithotrophic
"Botryllus schlosseri",Lecithotrophic
"Pisidia longicornis",Planktotrophic
"Cerastoderma edule",Planktotrophic
"Amphiura filiformis",Planktotrophic
"Mya arenaria",Planktotrophic
"Polydora ciliata",Planktotrophic
"Echinocardium cordatum",Planktotrophic
"Mytilus edulis",Planktotrophic
"Callianassa subterranea",Planktotrophic
"Macoma balthica",Planktotrophic
"Nucella lapillus",Oviparous
"Modiolus modiolus",Planktotrophic
"Serpula vermicularis",Planktotrophic
"Arctica islandica",Planktotrophic
"Bathyporeia pelagica",Ovoviviparous
"Bathyporeia pelagica",Brooding
"Flustra foliacea",Lecithotrophic
"Lanice conchilega",Planktotrophic
"Lanice conchilega",Lecithotrophic
"Musculus discors","Direct Development"
"Brissopsis lyrifera",Planktotrophic
"Amphiura chiajei",Planktotrophic
"Eurydice pulchra",Ovoviviparous
"Nephrops norvegicus",Planktotrophic
"Corbula gibba",Planktotrophic
"Aphrodita aculeata",Lecithotrophic
"Spio filicornis",Planktotrophic
"Nucula nitidosa",Lecithotrophic
"Owenia fusiformis",Planktotrophic
"Spiophanes bombyx",Planktotrophic
"Nephtys hombergii",Planktotrophic
"Nephtys hombergii",Lecithotrophic
"Abra alba",Planktotrophic
"Pomatoceros triqueter",Planktotrophic
"Cirratulus cirratus",Lecithotrophic
"Capitella capitata",Lecithotrophic
"Spisula solida",Planktotrophic
"Ampelisca brevicornis","Direct Development"
"Ampelisca diadema","Direct Development"
