SpeciesName,feedingmethod
"Neocrania anomala","Passive suspension feeder"
"Neocrania anomala","Active suspension feeder"
"Botryllus schlosseri","Passive suspension feeder"
"Botryllus schlosseri","Active suspension feeder"
"Pisidia longicornis","Passive suspension feeder"
"Pisidia longicornis","Active suspension feeder"
"Cerastoderma edule","Passive suspension feeder"
"Cerastoderma edule","Active suspension feeder"
"Amphiura filiformis","Passive suspension feeder"
"Amphiura filiformis","Active suspension feeder"
"Amphiura filiformis","Surface deposit feeder"
"Amphiura filiformis","Sub-surface deposit feeder"
"Mya arenaria","Passive suspension feeder"
"Mya arenaria","Active suspension feeder"
"Polydora ciliata","Passive suspension feeder"
"Polydora ciliata","Active suspension feeder"
"Polydora ciliata","Surface deposit feeder"
"Polydora ciliata","Sub-surface deposit feeder"
"Echinocardium cordatum","Surface deposit feeder"
"Echinocardium cordatum","Sub-surface deposit feeder"
"Mytilus edulis","Passive suspension feeder"
"Mytilus edulis","Active suspension feeder"
"Callianassa subterranea","Surface deposit feeder"
"Callianassa subterranea","Sub-surface deposit feeder"
"Macoma balthica","Passive suspension feeder"
"Macoma balthica","Active suspension feeder"
"Macoma balthica","Surface deposit feeder"
"Macoma balthica","Sub-surface deposit feeder"
"Nucella lapillus",Predator
"Modiolus modiolus","Passive suspension feeder"
"Modiolus modiolus","Active suspension feeder"
"Serpula vermicularis","Passive suspension feeder"
"Serpula vermicularis","Active suspension feeder"
"Arctica islandica","Passive suspension feeder"
"Arctica islandica","Active suspension feeder"
"Arctica islandica","Surface deposit feeder"
"Arctica islandica","Sub-surface deposit feeder"
"Bathyporeia pelagica","Surface deposit feeder"
"Bathyporeia pelagica","Sub-surface deposit feeder"
"Flustra foliacea","Passive suspension feeder"
"Flustra foliacea","Active suspension feeder"
"Lanice conchilega","Passive suspension feeder"
"Lanice conchilega","Active suspension feeder"
"Lanice conchilega","Surface deposit feeder"
"Lanice conchilega","Sub-surface deposit feeder"
"Musculus discors","Passive suspension feeder"
"Musculus discors","Active suspension feeder"
"Brissopsis lyrifera","Surface deposit feeder"
"Brissopsis lyrifera","Sub-surface deposit feeder"
"Amphiura chiajei","Surface deposit feeder"
"Amphiura chiajei","Sub-surface deposit feeder"
"Eurydice pulchra",Predator
"Eurydice pulchra",Scavenger
"Nephrops norvegicus",Predator
"Nephrops norvegicus",Scavenger
"Corbula gibba","Passive suspension feeder"
"Corbula gibba","Active suspension feeder"
"Aphrodita aculeata",Predator
"Aphrodita aculeata",Scavenger
"Spio filicornis","Surface deposit feeder"
"Spio filicornis","Sub-surface deposit feeder"
"Nucula nitidosa","Surface deposit feeder"
"Nucula nitidosa","Sub-surface deposit feeder"
"Owenia fusiformis","Passive suspension feeder"
"Owenia fusiformis","Active suspension feeder"
"Owenia fusiformis","Surface deposit feeder"
"Owenia fusiformis","Sub-surface deposit feeder"
"Spiophanes bombyx","Passive suspension feeder"
"Spiophanes bombyx","Active suspension feeder"
"Spiophanes bombyx","Surface deposit feeder"
"Spiophanes bombyx","Sub-surface deposit feeder"
"Nephtys hombergii",Predator
"Nephtys hombergii",Scavenger
"Abra alba","Passive suspension feeder"
"Abra alba","Active suspension feeder"
"Abra alba","Surface deposit feeder"
"Abra alba","Sub-surface deposit feeder"
"Pomatoceros triqueter","Passive suspension feeder"
"Pomatoceros triqueter","Active suspension feeder"
"Cirratulus cirratus","Surface deposit feeder"
"Cirratulus cirratus","Sub-surface deposit feeder"
"Capitella capitata","Surface deposit feeder"
"Capitella capitata","Sub-surface deposit feeder"
"Spisula solida","Passive suspension feeder"
"Spisula solida","Active suspension feeder"
"Ampelisca brevicornis","Passive suspension feeder"
"Ampelisca brevicornis","Active suspension feeder"
"Ampelisca brevicornis","Surface deposit feeder"
"Ampelisca brevicornis","Sub-surface deposit feeder"
"Ampelisca diadema","Passive suspension feeder"
"Ampelisca diadema","Active suspension feeder"
"Ampelisca spinipes","Passive suspension feeder"
"Ampelisca spinipes","Active suspension feeder"
"Ampelisca tenuicornis","Passive suspension feeder"
"Ampelisca tenuicornis","Active suspension feeder"
"Ampelisca tenuicornis","Surface deposit feeder"
"Ampelisca tenuicornis","Sub-surface deposit feeder"
"Aporrhais pespelecani","Passive suspension feeder"
"Aporrhais pespelecani","Active suspension feeder"
"Astarte sulcata","Passive suspension feeder"
"Astarte sulcata","Active suspension feeder"
"Bathyporeia elegans","Surface deposit feeder"
"Bathyporeia elegans","Sub-surface deposit feeder"
"Chaetopterus variopedatus","Passive suspension feeder"
"Chaetopterus variopedatus","Active suspension feeder"
"Chaetozone setosa","Surface deposit feeder"
"Chaetozone setosa","Sub-surface deposit feeder"
"Hyalinoecia tubicola","Surface deposit feeder"
"Hyalinoecia tubicola","Sub-surface deposit feeder"
"Mysella bidentata","Passive suspension feeder"
"Mysella bidentata","Active suspension feeder"
"Mysella bidentata","Surface deposit feeder"
"Mysella bidentata","Sub-surface deposit feeder"
"Nephtys cirrosa",Predator
"Nephtys cirrosa",Scavenger
"Ophiura albida","Passive suspension feeder"
"Ophiura albida","Active suspension feeder"
