AphiaID,Species,Phylum,Class,Order,Family,Genus
102497,Acidostoma obesum,Arthropoda,Malacostraca,Amphipoda,Acidostomatidae,Acidostoma
131066,Fimbriosthenelais zetlandica,Annelida,Polychaeta,Phyllodocida,Sigalionidae,Fimbriosthenelais
130143,Goniadella bobrezkii,Annelida,Polychaeta,Phyllodocida,Goniadidae,Goniadella
101400,NA,Arthropoda,Malacostraca,Amphipoda,Oedicerotidae,NA
130480,Paradiopatra quadricuspis,Annelida,Polychaeta,Eunicida,Onuphidae,Paradiopatra
101446,NA,Arthropoda,Malacostraca,Amphipoda,Ampeliscidae,Byblis
102986,Paraphoxus oculatus,Arthropoda,Malacostraca,Amphipoda,Phoxocephalidae,Paraphoxus
1137,NA,Arthropoda,Malacostraca,Cumacea,NA,NA
130081,Euphrosine borealis,Annelida,Polychaeta,Amphinomida,Euphrosinidae,Euphrosine
110474,Diastylis cornuta,Arthropoda,Malacostraca,Cumacea,Diastylidae,Diastylis
129340,NA,Annelida,Polychaeta,Eunicida,Lumbrineridae,Scoletoma
102403,Ericthonius difformis,Arthropoda,Malacostraca,Amphipoda,Ischyroceridae,Ericthonius
130682,Protomystides exigua,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Protomystides
101447,NA,Arthropoda,Malacostraca,Amphipoda,Ampeliscidae,Haploops
851922,Genaxinus eumyarius,Mollusca,Bivalvia,Lucinida,Thyasiridae,Genaxinus
181299,Similipecten greenlandicus,Mollusca,Bivalvia,Pectinida,Propeamussiidae,Similipecten
334695,Rhamphobrachium (Spinigerium) brevibrachiatum,Annelida,Polychaeta,Eunicida,Onuphidae,Rhamphobrachium
110559,Campylaspis undata,Arthropoda,Malacostraca,Cumacea,Nannastacidae,Campylaspis
101918,Ampelisca pusilla,Arthropoda,Malacostraca,Amphipoda,Ampeliscidae,Ampelisca
102022,Autonoe megacheir,Arthropoda,Malacostraca,Amphipoda,Aoridae,Autonoe
141765,Calliostoma occidentale,Mollusca,Gastropoda,Trochida,Calliostomatidae,Calliostoma
472036,Bugulopsis peachii,Bryozoa,Gymnolaemata,Cheilostomatida,Bugulidae,Bugulopsis
101826,Caprella ciliata,Arthropoda,Malacostraca,Amphipoda,Caprellidae,Caprella
140249,Scutopus robustus,Mollusca,Caudofoveata,Chaetodermatida,Limifossoridae,Scutopus
159,NA,Mollusca,Gastropoda,Cephalaspidea,Cylichnidae,NA
118816,Aega crenulata,Arthropoda,Malacostraca,Isopoda,Aegidae,Aega
