name	AphiaID	Match type	ScientificName	AphiaID_accepted	ScientificName_accepted	Kingdom	Phylum	Class	Order	Family	Genus	Subgenus	Species	Subspecies
Cerastoderma edule	138998	exact	Cerastoderma edule	138998	Cerastoderma edule	Animalia	Mollusca	Bivalvia	Cardiida	Cardiidae	Cerastoderma		edule	
Cerastoderma glaucum	138999	exact	Cerastoderma glaucum	138999	Cerastoderma glaucum	Animalia	Mollusca	Bivalvia	Cardiida	Cardiidae	Cerastoderma		glaucum	
Cerianthus lloydii	283798	exact	Cerianthus lloydii	283798	Cerianthus lloydii	Animalia	Cnidaria	Anthozoa	Spirularia	Cerianthidae	Cerianthus		lloydii	
Chaetopterus variopedatus	129914	exact	Chaetopterus variopedatus	129914	Chaetopterus variopedatus	Animalia	Annelida	Polychaeta		Chaetopteridae	Chaetopterus		variopedatus	
Chaetozone setosa	129955	exact	Chaetozone setosa	129955	Chaetozone setosa	Animalia	Annelida	Polychaeta	Terebellida	Cirratulidae	Chaetozone		setosa	
Chondrus crispus	145625	exact	Chondrus crispus	145625	Chondrus crispus	Plantae	Rhodophyta	Florideophyceae	Gigartinales	Gigartinaceae	Chondrus		crispus	
Chorda filum	145722	exact	Chorda filum	145722	Chorda filum	Chromista	Ochrophyta	Phaeophyceae	Laminariales	Chordaceae	Chorda		filum	
Chthamalus montagui	106230	exact	Chthamalus montagui	106230	Chthamalus montagui	Animalia	Arthropoda	Hexanauplia	Sessilia	Chthamalidae	Chthamalus		montagui	
Chthamalus stellatus	106231	exact	Chthamalus stellatus	106231	Chthamalus stellatus	Animalia	Arthropoda	Hexanauplia	Sessilia	Chthamalidae	Chthamalus		stellatus	
Ciona intestinalis	103732	exact	Ciona intestinalis	103732	Ciona intestinalis	Animalia	Chordata	Ascidiacea	Phlebobranchia	Cionidae	Ciona		intestinalis	
Cirratulus cirratus	129959	exact	Cirratulus cirratus	129959	Cirratulus cirratus	Animalia	Annelida	Polychaeta	Terebellida	Cirratulidae	Cirratulus		cirratus	
Cladophora rupestris	145064	exact	Cladophora rupestris	145064	Cladophora rupestris	Plantae	Chlorophyta	Ulvophyceae	Cladophorales	Cladophoraceae	Cladophora		rupestris	
Clavelina lepadiformis	103552	exact	Clavelina lepadiformis	103552	Clavelina lepadiformis	Animalia	Chordata	Ascidiacea	Aplousobranchia	Clavelinidae	Clavelina		lepadiformis	
Colus gracilis	138899	exact	Colus gracilis	138899	Colus gracilis	Animalia	Mollusca	Gastropoda	Neogastropoda	Buccinidae	Colus		gracilis	
Conopeum reticulum	111351	exact	Conopeum reticulum	111351	Conopeum reticulum	Animalia	Bryozoa	Gymnolaemata	Cheilostomatida	Electridae	Conopeum		reticulum	
Corallina officinalis	145108	exact	Corallina officinalis	145108	Corallina officinalis	Plantae	Rhodophyta	Florideophyceae	Corallinales	Corallinaceae	Corallina		officinalis	
Corbula gibba	139410	exact	Corbula gibba	139410	Corbula gibba	Animalia	Mollusca	Bivalvia	Myida	Corbulidae	Corbula		gibba	
Cordylophora caspia	117428	exact	Cordylophora caspia	117428	Cordylophora caspia	Animalia	Cnidaria	Hydrozoa	Anthoathecata	Cordylophoridae	Cordylophora		caspia	
Corophium volutator	102101	exact	Corophium volutator	102101	Corophium volutator	Animalia	Arthropoda	Malacostraca	Amphipoda	Corophiidae	Corophium		volutator	
Corystes cassivelaunus	107277	exact	Corystes cassivelaunus	107277	Corystes cassivelaunus	Animalia	Arthropoda	Malacostraca	Decapoda	Corystidae	Corystes		cassivelaunus	
Crangon allmanni	107551	exact	Crangon allmanni	107551	Crangon allmanni	Animalia	Arthropoda	Malacostraca	Decapoda	Crangonidae	Crangon		allmanni	
Crangon crangon	107552	exact	Crangon crangon	107552	Crangon crangon	Animalia	Arthropoda	Malacostraca	Decapoda	Crangonidae	Crangon		crangon	
Crepidula fornicata	138963	exact	Crepidula fornicata	138963	Crepidula fornicata	Animalia	Mollusca	Gastropoda	Littorinimorpha	Calyptraeidae	Crepidula		fornicata	
Crossaster papposus	124154	exact	Crossaster papposus	124154	Crossaster papposus	Animalia	Echinodermata	Asteroidea	Valvatida	Solasteridae	Crossaster		papposus	
Ctenolabrus rupestris	126964	exact	Ctenolabrus rupestris	126964	Ctenolabrus rupestris	Animalia	Chordata	Actinopterygii	Perciformes	Labridae	Ctenolabrus		rupestris	
Delesseria sanguinea	144744	exact	Delesseria sanguinea	144744	Delesseria sanguinea	Plantae	Rhodophyta	Florideophyceae	Ceramiales	Delesseriaceae	Delesseria		sanguinea	
Dendrodoa grossularia	103882	exact	Dendrodoa grossularia	103882	Dendrodoa grossularia	Animalia	Chordata	Ascidiacea	Stolidobranchia	Styelidae	Dendrodoa		grossularia	
Dichelopandalus bonnieri	107643	exact	Dichelopandalus bonnieri	107643	Dichelopandalus bonnieri	Animalia	Arthropoda	Malacostraca	Decapoda	Pandalidae	Dichelopandalus		bonnieri	
Diplosoma listerianum	103579	exact	Diplosoma listerianum	103579	Diplosoma listerianum	Animalia	Chordata	Ascidiacea	Aplousobranchia	Didemnidae	Diplosoma		listerianum	
Dipturus batis	105869	exact	Dipturus batis	105869	Dipturus batis	Animalia	Chordata	Elasmobranchii	Rajiformes	Rajidae	Dipturus		batis	
Distomus variolosus	103890	exact	Distomus variolosus	103890	Distomus variolosus	Animalia	Chordata	Ascidiacea	Stolidobranchia	Styelidae	Distomus		variolosus	
Ditrupa arietina	130987	exact	Ditrupa arietina	130987	Ditrupa arietina	Animalia	Annelida	Polychaeta	Sabellida	Serpulidae	Ditrupa		arietina	
Dosinia spp.	138636	exact	Dosinia	138636	Dosinia	Animalia	Mollusca	Bivalvia	Venerida	Veneridae	Dosinia			
Dysidea fragilis	132324	exact	Dysidea fragilis	132324	Dysidea fragilis	Animalia	Porifera	Demospongiae	Dictyoceratida	Dysideidae	Dysidea		fragilis	
Echinocardium cordatum	124392	exact	Echinocardium cordatum	124392	Echinocardium cordatum	Animalia	Echinodermata	Echinoidea	Spatangoida	Loveniidae	Echinocardium		cordatum	
Echinocyamus pusillus	124273	exact	Echinocyamus pusillus	124273	Echinocyamus pusillus	Animalia	Echinodermata	Echinoidea	Clypeasteroida	Fibulariidae	Echinocyamus		pusillus	
Echinus esculentus	124287	exact	Echinus esculentus	124287	Echinus esculentus	Animalia	Echinodermata	Echinoidea	Camarodonta	Echinidae	Echinus		esculentus	
Edwardsia ivelli	100888	exact	Edwardsia ivelli	100888	Edwardsia ivelli	Animalia	Cnidaria	Anthozoa	Actiniaria	Edwardsiidae	Edwardsia		ivelli	
Electra pilosa	111355	exact	Electra pilosa	111355	Electra pilosa	Animalia	Bryozoa	Gymnolaemata	Cheilostomatida	Electridae	Electra		pilosa	
Ensis ensis	140733	exact	Ensis ensis	140733	Ensis ensis	Animalia	Mollusca	Bivalvia	Adapedonta	Pharidae	Ensis		ensis	
Ensis spp.	138333	exact	Ensis	138333	Ensis	Animalia	Mollusca	Bivalvia	Adapedonta	Pharidae	Ensis			
Eteone spp.	129443	exact	Eteone	129443	Eteone	Animalia	Annelida	Polychaeta	Phyllodocida	Phyllodocidae	Eteone			
Euclymene spp.	129347	exact	Euclymene	129347	Euclymene	Animalia	Annelida	Polychaeta		Maldanidae	Euclymene			
Eulalia spp.	129445	exact	Eulalia	129445	Eulalia	Animalia	Annelida	Polychaeta	Phyllodocida	Phyllodocidae	Eulalia			
Eumida spp.	129446	exact	Eumida	129446	Eumida	Animalia	Annelida	Polychaeta	Phyllodocida	Phyllodocidae	Eumida			
Eunicella verrucosa	125366	exact	Eunicella verrucosa	125366	Eunicella verrucosa	Animalia	Cnidaria	Anthozoa	Alcyonacea	Gorgoniidae	Eunicella		verrucosa	
Eurydice pulchra	118852	exact	Eurydice pulchra	118852	Eurydice pulchra	Animalia	Arthropoda	Malacostraca	Isopoda	Cirolanidae	Eurydice		pulchra	
Exogone spp.	129654	exact	Exogone	129654	Exogone	Animalia	Annelida	Polychaeta	Phyllodocida	Syllidae	Exogone			
Flustra foliacea	111367	exact	Flustra foliacea	111367	Flustra foliacea	Animalia	Bryozoa	Gymnolaemata	Cheilostomatida	Flustridae	Flustra		foliacea	
Fucus ceranoides	145542	exact	Fucus ceranoides	145542	Fucus ceranoides	Chromista	Ochrophyta	Phaeophyceae	Fucales	Fucaceae	Fucus		ceranoides	
Fucus distichus	145544	exact	Fucus distichus	145544	Fucus distichus	Chromista	Ochrophyta	Phaeophyceae	Fucales	Fucaceae	Fucus		distichus	
